tweet_id,timestamp,name,rating_numerator,rating_denominator,dog_stage,value,breed,confidence,retweet_count,favorite_count
892420643555336193,2017-08-01 16:23:56+00:00,phineas,13,10,doggo,None,none,0.0,8853.0,39467.0
892177421306343426,2017-08-01 00:17:27+00:00,tilly,13,10,doggo,None,Chihuahua,0.323581,6514.0,33819.0
891815181378084864,2017-07-31 00:18:03+00:00,archie,12,10,doggo,None,Chihuahua,0.716012,4328.0,25461.0
891689557279858688,2017-07-30 15:58:51+00:00,darla,13,10,doggo,None,Labrador_retriever,0.1680859999999999,8964.0,42908.0
891327558926688256,2017-07-29 16:00:24+00:00,franklin,12,10,doggo,None,basset,0.555712,9774.0,41048.0
891087950875897856,2017-07-29 00:08:17+00:00,none,13,10,doggo,None,Chesapeake_Bay_retriever,0.425595,3261.0,20562.0
890971913173991426,2017-07-28 16:27:12+00:00,jax,13,10,doggo,None,Appenzeller,0.341703,2158.0,12041.0
890729181411237888,2017-07-28 00:22:40+00:00,none,13,10,doggo,None,Pomeranian,0.566142,16716.0,56848.0
890609185150312448,2017-07-27 16:25:51+00:00,zoey,13,10,doggo,None,Irish_terrier,0.4875739999999999,4429.0,28226.0
890240255349198849,2017-07-26 15:59:51+00:00,cassie,14,10,doggo,doggo,Pembroke,0.511319,7711.0,32467.0
890006608113172480,2017-07-26 00:31:25+00:00,koda,13,10,doggo,None,Samoyed,0.957979,7624.0,31166.0
889880896479866881,2017-07-25 16:11:53+00:00,bruno,13,10,doggo,None,French_bulldog,0.377417,5156.0,28268.0
889665388333682689,2017-07-25 01:55:32+00:00,none,13,10,doggo,None,Pembroke,0.966327,8538.0,38818.0
889638837579907072,2017-07-25 00:10:02+00:00,ted,12,10,doggo,None,French_bulldog,0.99165,4735.0,27672.0
889531135344209921,2017-07-24 17:02:04+00:00,stuart,13,10,doggo,None,golden_retriever,0.953442,2321.0,15359.0
889278841981685760,2017-07-24 00:19:32+00:00,oliver,13,10,doggo,None,whippet,0.626152,5637.0,25652.0
888917238123831296,2017-07-23 00:22:39+00:00,jim,12,10,doggo,None,golden_retriever,0.714719,4709.0,29611.0
888804989199671297,2017-07-22 16:56:37+00:00,zeke,13,10,doggo,None,golden_retriever,0.46976,4559.0,26080.0
888554962724278272,2017-07-22 00:23:06+00:00,ralphus,13,10,doggo,None,Siberian_husky,0.700377,3732.0,20290.0
888078434458587136,2017-07-20 16:49:33+00:00,gerald,12,10,doggo,None,French_bulldog,0.995026,3653.0,22201.0
887705289381826560,2017-07-19 16:06:48+00:00,jeffrey,13,10,doggo,None,basset,0.821664,5609.0,30779.0
887517139158093824,2017-07-19 03:39:09+00:00,such,14,10,doggo,None,none,0.0,12082.0,46959.0
887473957103951883,2017-07-19 00:47:34+00:00,canela,13,10,doggo,None,Pembroke,0.809197,18781.0,69871.0
887343217045368832,2017-07-18 16:08:03+00:00,none,13,10,doggo,None,Mexican_hairless,0.330741,10737.0,34222.0
887101392804085760,2017-07-18 00:07:08+00:00,none,12,10,doggo,None,Samoyed,0.733942,6167.0,31061.0
886983233522544640,2017-07-17 16:17:36+00:00,maya,13,10,doggo,None,Chihuahua,0.793469,8084.0,35859.0
886736880519319552,2017-07-16 23:58:41+00:00,mingus,13,10,doggo,None,kuvasz,0.309706,3443.0,12306.0
886680336477933568,2017-07-16 20:14:00+00:00,derek,13,10,doggo,None,none,0.0,4610.0,22798.0
886366144734445568,2017-07-15 23:25:31+00:00,roscoe,12,10,doggo,None,French_bulldog,0.999201,3316.0,21524.0
886258384151887873,2017-07-15 16:17:19+00:00,waffles,13,10,doggo,None,pug,0.943575,6523.0,28469.0
885984800019947520,2017-07-14 22:10:11+00:00,jimbo,12,10,doggo,None,Blenheim_spaniel,0.972494,7097.0,33382.0
885528943205470208,2017-07-13 15:58:47+00:00,maisey,13,10,doggo,None,pug,0.369275,6683.0,36689.0
885518971528720385,2017-07-13 15:19:09+00:00,none,14,10,doggo,None,,,,
885167619883638784,2017-07-12 16:03:00+00:00,none,13,10,doggo,None,malamute,0.8124819999999999,4556.0,22367.0
884925521741709313,2017-07-12 00:01:00+00:00,earl,12,10,doggo,None,Italian_greyhound,0.259916,16439.0,68152.0
884876753390489601,2017-07-11 20:47:12+00:00,lola,13,10,doggo,None,chow,0.822103,6096.0,28514.0
884562892145688576,2017-07-11 00:00:02+00:00,kevin,13,10,doggo,None,pug,0.5464060000000001,5100.0,24765.0
884441805382717440,2017-07-10 15:58:53+00:00,none,14,10,doggo,None,Pembroke,0.993225,5856.0,27478.0
884247878851493888,2017-07-10 03:08:17+00:00,none,13,10,doggo,None,,,,
884162670584377345,2017-07-09 21:29:42+00:00,yogi,12,10,doggo,doggo,German_shepherd,0.707046,3128.0,20771.0
883838122936631299,2017-07-09 00:00:04+00:00,noah,12,10,doggo,None,Doberman,0.610946,3586.0,22349.0
883482846933004288,2017-07-08 00:28:19+00:00,bella,5,10,doggo,None,golden_retriever,0.943082,10407.0,46860.0
883360690899218434,2017-07-07 16:22:55+00:00,grizzwald,13,10,doggo,None,chow,0.987997,3825.0,22986.0
883117836046086144,2017-07-07 00:17:54+00:00,none,13,10,doggo,None,golden_retriever,0.949562,6949.0,37914.0
882992080364220416,2017-07-06 15:58:11+00:00,rusty,13,10,doggo,None,Eskimo_dog,0.4667779999999999,4122.0,24445.0
882762694511734784,2017-07-06 00:46:41+00:00,gus,12,10,doggo,None,Labrador_retriever,0.85005,5134.0,28903.0
